Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Office Furnishings,Dallas,Small Pack,667,Allison Kirby,Corporate,Furniture,10593,"Executive Impressions 14"" Two-Color Numerals Wall Clock",1/20/2013,22147,Low,75203,Central,6/12/1908,1/16/2014,Regular Air,Texas,0.04,37,0.44,70,832,9,23
Office Furnishings,Murfreesboro,Small Pack,665,Miriam Mueller,Corporate,Furniture,10593,"Executive Impressions 14"" Two-Color Numerals Wall Clock",2/2/2016,88677,Low,37130,South,9/23/1957,2/22/2016,Regular Air,Tennessee,0.04,9,0.44,-678,202,9,23
Telephones and Communication,Southbury,Small Box,3385,Daniel Richmond,Corporate,Technology,11143,M70,11/21/2016,88745,Low,6488,East,3/2/1961,11/21/2016,Regular Air,Connecticut,0.01,6,0.59,426,681,9,126
Paper,Dallas,Small Box,1873,Lisa Kim,Corporate,Office Supplies,10785,Xerox 1991,11/10/2015,90099,Medium,75203,Central,2/26/1953,11/10/2015,Regular Air,Texas,0.06,7,0.39,-358,152,8,23
Labels,Irving,Small Box,592,Eva Silverman,Small Business,Office Supplies,11013,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1/27/2016,86307,Critical,75061,Central,2/26/1954,1/27/2016,Regular Air,Texas,0.08,10,0.39,-240,286,20,31
Pens & Art Supplies,Boston,Wrap Bag,2618,Amy Hamrick Melvin,Corporate,Office Supplies,10773,Newell 309,7/7/2014,46884,Medium,2129,East,1/12/1918,7/7/2014,Regular Air,Massachusetts,0.1,25,0.55,16,280,2,12
Pens & Art Supplies,Clarksville,Small Pack,2725,Katharine Hudson,Home Office,Office Supplies,10100,"Boston Model 1800 Electric Pencil Sharpener, Gray",11/13/2015,88958,Not Specified,37042,South,11/27/1961,11/13/2015,Regular Air,Tennessee,0.05,10,0.55,-66,282,6,28
Appliances,Cranston,Jumbo Drum,366,Patrick Rosenthal,Small Business,Office Supplies,10211,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1/8/2016,87347,Medium,2910,East,1/15/1950,1/8/2016,Delivery Truck,Rhode Island,0.05,6,0.57,412,1968,91,328
Paper,Meridian,Wrap Bag,1702,Sandra Berry,Home Office,Office Supplies,11244,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",7/14/2014,90473,Medium,39301,South,2/21/1966,7/14/2014,Express Air,Mississippi,0.05,3,0.36,20,14,2,4
Envelopes,Boston,Small Box,2618,Amy Hamrick Melvin,Corporate,Office Supplies,10982,Security-Tint Envelopes,7/6/2015,46884,Medium,2129,East,1/10/1918,7/6/2015,Regular Air,Massachusetts,0.1,18,0.36,16,130,1,8
Envelopes,Dallas,Small Box,1873,Lisa Kim,Corporate,Office Supplies,10191,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,11/11/2014,90099,Medium,75203,Central,2/25/1953,11/11/2014,Regular Air,Texas,0.03,1,0.4,15,100,20,90
Pens & Art Supplies,Coachella,Wrap Bag,593,Joel Huffman,Small Business,Office Supplies,10841,Newell 323,1/27/2016,86307,Critical,92236,West,2/27/1954,1/27/2016,Regular Air,California,0.01,12,0.59,-53,20,2,2
Telephones and Communication,Boston,Small Box,2618,Amy Hamrick Melvin,Corporate,Technology,10385,Item 10385,7/4/2016,46884,Medium,2129,East,1/11/1918,7/4/2016,Regular Air,Massachusetts,0,3,0.59,-816,337,3,126
Computer Peripherals,Northport,Small Pack,1719,Russell W Melton,Corporate,Technology,10434,Maxell DVD-RAM Discs,9/15/2014,90786,Medium,35473,South,6/13/1956,9/15/2014,Regular Air,Alabama,0.06,8,0.42,-145,128,2,16
Appliances,Meridian,Small Box,1702,Sandra Berry,Home Office,Office Supplies,11168,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",7/11/2016,90473,Medium,39301,South,2/20/1966,7/11/2016,Regular Air,Mississippi,0.05,3,0.43,-220,45,13,15
Binders and Binder Accessories,Dallas,Small Box,2443,Danny Richmond,Corporate,Office Supplies,10657,Avery Arch Ring Binders,10/9/2015,89299,High,75203,Central,9/21/1957,10/9/2015,Regular Air,Texas,0.05,13,0.38,1634,739,1,58
Envelopes,Tupelo,Small Box,1971,Marsha Roy,Corporate,Office Supplies,11180,"Peel & Seel® Recycled Catalog Envelopes, Brown",1/14/2016,91550,Medium,38801,South,10/14/1971,1/14/2016,Regular Air,Mississippi,0.02,3,0.35,-260,35,6,12
Chairs & Chairmats,Willow Grove,Jumbo Drum,1972,Howard Hendricks,Corporate,Furniture,11104,Global Leather Executive Chair,1/14/2016,91550,Medium,19090,East,10/17/1971,1/14/2016,Delivery Truck,Pennsylvania,0.05,6,0.55,1470,2130,39,351
Office Machines,Willow Grove,Small Box,1972,Howard Hendricks,Corporate,Technology,11204,"AT&T Black Trimline Phone, Model 210",1/14/2016,91550,Medium,19090,East,10/18/1971,1/14/2016,Express Air,Pennsylvania,0.04,5,0.49,-84,83,9,16
Pens & Art Supplies,Santa Fe,Wrap Bag,259,Edward Pugh,Consumer,Office Supplies,11149,Newell 340,11/15/2014,85857,Low,87505,West,4/23/1949,11/17/2014,Regular Air,New Mexico,0.09,10,0.56,6,26,1,3
Office Machines,South Burlington,Jumbo Box,659,Marjorie Arthur,Consumer,Technology,11170,Hewlett-Packard 2600DN Business Color Inkjet Printer,11/27/2014,91212,Critical,5403,East,2/24/1957,11/27/2014,Delivery Truck,Vermont,0,5,0.39,-126,616,56,120
Appliances,Southbury,Small Box,3095,Milton Lindsay,Consumer,Office Supplies,10039,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,8/11/2015,86220,Critical,6488,East,9/25/1955,8/11/2015,Regular Air,Connecticut,0.09,5,0.55,684,991,1,207
Paper,Oxford,Small Box,657,Derek McCormick,Consumer,Office Supplies,11073,Computer Printout Paper with Letter-Trim Perforations,11/24/2016,91212,Critical,1540,East,2/23/1957,11/24/2016,Regular Air,Massachusetts,0.1,1,0.37,-24,20,9,19
Appliances,Sanford,Small Box,3155,Julian Keith Mayer,Corporate,Office Supplies,10425,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",1/15/2016,86898,Critical,32771,South,1/16/1964,1/15/2016,Regular Air,Florida,0.02,9,0.57,-194,542,4,60
Office Machines,Oxford,Medium Box,1027,Brian Bennett,Small Business,Technology,10339,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,1/8/2016,89004,High,1540,East,1/17/1962,1/8/2016,Regular Air,Massachusetts,0.05,9,0.37,330,478,10,52
Telephones and Communication,Pullman,Small Box,3393,Irene Murphy,Consumer,Technology,10780,StarTAC 3000,11/30/2015,87908,Medium,99163,West,1/12/1951,11/30/2015,Regular Air,Washington,0.08,7,0.59,375,710,8,126
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,10723,Item 10723,2/4/2016,87954,Critical,2129,East,10/7/1966,2/4/2016,Express Air,Massachusetts,0.06,9,0.58,288,506,9,66
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,10723,Item 10723,7/8/2014,45380,Critical,98119,West,6/26/1917,7/8/2014,Express Air,Washington,0.06,34,0.58,288,1913,9,66
Pens & Art Supplies,North Las Vegas,Small Pack,2823,Max Hurley,Corporate,Office Supplies,11121,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,12/2/2014,87240,Low,89031,West,3/2/1965,12/2/2014,Regular Air,Nevada,0.02,11,0.55,166,240,3,22
Telephones and Communication,Boston,Small Box,638,Brooke Shepherd,Consumer,Technology,10346,KH 688,2/4/2016,87954,Critical,2129,East,10/8/1966,2/4/2016,Express Air,Massachusetts,0,6,0.57,719,1043,4,196
Telephones and Communication,Seattle,Small Box,640,Neal Wolfe,Consumer,Technology,10346,KH 688,7/7/2015,45380,Critical,98119,West,6/27/1917,7/7/2015,Express Air,Washington,0,24,0.57,1031,4171,4,196
Storage & Organization,Austin,Small Box,381,Danielle Watts,Corporate,Office Supplies,10091,Deluxe Rollaway Locking File with Drawer,7/21/2015,88929,Not Specified,78745,Central,4/30/1961,7/21/2015,Regular Air,Texas,0.07,1,0.57,-540,395,11,416
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,11131,Presstex Flexible Ring Binders,12/9/2016,86949,Critical,30328,South,4/19/1955,12/9/2016,Regular Air,Georgia,0.03,9,0.35,100,40,1,5
Office Furnishings,West Valley City,Small Pack,1383,Christina Hanna,Consumer,Furniture,11212,Eldon Pizzaz™ Desk Accessories,12/4/2016,89406,Medium,84120,West,1/25/1952,12/5/2016,Regular Air,Utah,0.03,12,0.41,-93,29,5,2
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,10534,Xerox 1922,1/4/2016,88959,Critical,37421,South,7/2/1954,1/4/2016,Regular Air,Tennessee,0.06,10,0.36,-38,53,7,5
Binders and Binder Accessories,Sandy Springs,Small Box,2394,John Walvoord,Corporate,Office Supplies,11238,Fellowes Binding Cases,12/11/2015,86949,Critical,30328,South,4/18/1955,12/11/2015,Regular Air,Georgia,0.01,16,0.4,39,197,6,12
Paper,Chattanooga,Small Box,2724,Erika Clapp,Home Office,Office Supplies,10828,Xerox 210,1/4/2016,88959,Critical,37421,South,7/3/1954,1/4/2016,Regular Air,Tennessee,0.01,18,0.37,-450,123,7,6
Office Furnishings,Oxford,Small Box,1271,Joanne Church,Corporate,Furniture,10731,Hand-Finished Solid Wood Document Frame,2/23/2016,88411,Low,1540,East,2/8/1953,2/23/2016,Regular Air,Massachusetts,0.1,7,0.55,152,220,5,34
Paper,Oxford,Wrap Bag,2531,Rick Houston,Small Business,Office Supplies,11045,EcoTones® Memo Sheets,2/8/2016,87452,Medium,1540,East,2/9/1965,2/8/2016,Regular Air,Massachusetts,0.08,14,0.37,28,52,1,4
Office Furnishings,Alamogordo,Small Box,1869,Roberta Daniel,Consumer,Furniture,10230,"6"" Cubicle Wall Clock, Black",11/11/2014,89209,Not Specified,88310,West,9/8/1951,11/11/2014,Regular Air,New Mexico,0.08,10,0.49,-89,80,8,8
Office Furnishings,Fairfield,Large Box,1680,Esther Whitaker,Consumer,Furniture,10940,Electrix Fluorescent Magnifier Lamps & Weighted Base,7/17/2015,86645,Low,45014,East,5/28/1964,7/17/2015,Regular Air,Ohio,0.03,17,0.57,555,817,10,49
Envelopes,Fairfield,Small Box,1680,Esther Whitaker,Consumer,Office Supplies,10308,Staples Colored Interoffice Envelopes,7/17/2015,86645,Low,45014,East,5/27/1964,7/17/2015,Regular Air,Ohio,0.09,18,0.36,-164,515,20,31
Office Furnishings,Medford,Small Box,335,Curtis O'Connell,Corporate,Furniture,10324,"Eldon® 200 Class™ Desk Accessories, Burgundy",9/26/2016,87277,Critical,97504,West,12/30/1949,9/26/2016,Regular Air,Oregon,0.09,1,0.43,-5,9,5,6
Telephones and Communication,Eagle,Small Box,3356,Charles Ryrie,Corporate,Technology,10171,Item 10171,10/31/2016,88588,Medium,83616,West,1/2/1951,10/31/2016,Express Air,Idaho,0.04,15,0.56,605,877,6,66
Chairs & Chairmats,Eagle,Jumbo Drum,3356,Charles Ryrie,Corporate,Furniture,10814,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,11/2/2015,88588,Medium,83616,West,1/1/1951,11/2/2015,Delivery Truck,Idaho,0.03,18,0.62,1305,2934,30,161
Chairs & Chairmats,Medford,Large Box,335,Curtis O'Connell,Corporate,Furniture,10512,SAFCO Arco Folding Chair,9/28/2015,87277,Critical,97504,West,12/29/1949,9/28/2015,Regular Air,Oregon,0.06,14,0,2639,3825,24,276
Binders and Binder Accessories,Eagle,Small Box,3356,Charles Ryrie,Corporate,Office Supplies,10059,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",11/2/2015,88588,Medium,83616,West,12/31/1950,11/2/2015,Regular Air,Idaho,0.07,13,0.39,-116,67,6,5
Storage & Organization,Oxford,Small Box,411,Carolyn Proctor,Consumer,Office Supplies,10724,"Hot File® 7-Pocket, Floor Stand",10/2/2015,87905,High,1540,East,6/14/1950,10/2/2015,Express Air,Massachusetts,0.05,9,0.55,943,1531,20,178
Appliances,Harlingen,Small Box,2273,Debra Block,Corporate,Office Supplies,10182,"Belkin 325VA UPS Surge Protector, 6'",8/5/2015,90109,Low,78550,Central,2/9/1964,8/5/2015,Regular Air,Texas,0.04,17,0.6,1390,2014,4,121
Paper,South Portland,Small Box,2509,Sidney Larson,Home Office,Office Supplies,10233,Xerox 1951,7/27/2016,87029,Medium,4106,East,1/3/1960,7/27/2016,Regular Air,Maine,0.05,15,0.4,309,463,9,31
Telephones and Communication,Harlingen,Small Pack,2273,Debra Block,Corporate,Technology,10699,Accessory36,8/5/2015,90109,Low,78550,Central,2/10/1964,8/5/2015,Regular Air,Texas,0.02,4,0.83,-223,201,5,56
Appliances,Grand Rapids,Jumbo Drum,2380,Lisa Branch,Small Business,Office Supplies,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1/25/2016,86655,Low,49505,Central,9/11/1949,1/26/2016,Delivery Truck,Michigan,0.08,17,0.41,-1070,1162,60,69
Appliances,New York City,Jumbo Drum,2382,Geoffrey Saunders,Small Business,Office Supplies,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5/7/2013,962,Low,10024,East,5/31/1900,5/5/2014,Delivery Truck,New York,0.08,68,0.41,-1070,4650,60,69
Binders and Binder Accessories,Garden City,Small Box,2379,Mildred Briggs,Small Business,Office Supplies,10837,GBC Therma-A-Bind 250T Electric Binding System,1/25/2016,86655,Low,48135,Central,9/10/1949,1/26/2016,Regular Air,Michigan,0.06,12,0.37,1020,1478,20,123
Binders and Binder Accessories,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,10837,GBC Therma-A-Bind 250T Electric Binding System,5/7/2013,962,Low,10024,East,5/30/1900,5/5/2014,Regular Air,New York,0.06,48,0.37,1408,5911,20,123
Office Furnishings,Houston,Jumbo Drum,2274,Marlene Harrison,Corporate,Furniture,10995,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",8/3/2016,90109,Low,77036,Central,2/11/1964,8/3/2016,Delivery Truck,Texas,0.05,12,0.62,-134,299,16,24
Paper,Richmond,Wrap Bag,2420,Wesley Cho,Consumer,Office Supplies,11253,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",8/28/2014,86752,High,23223,South,3/9/1969,8/28/2014,Regular Air,Virginia,0.04,11,0.4,-23,101,2,9
Tables,New York City,Jumbo Box,1416,Betsy Gibson,Small Business,Furniture,10515,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,7/29/2015,90538,Critical,10024,East,10/18/1968,7/29/2015,Delivery Truck,New York,0.02,1,0.79,-635,471,75,417
Paper,Tampa,Small Box,3338,Constance Robertson,Consumer,Office Supplies,11209,Xerox 212,9/19/2015,85979,High,33614,South,9/1/1958,9/22/2015,Regular Air,Florida,0.08,7,0.37,59,45,8,6
Bookcases,Norfolk,Jumbo Box,445,Judy Barrett,Small Business,Furniture,10244,O'Sullivan Living Dimensions 3-Shelf Bookcases,9/21/2016,88084,High,68701,Central,4/30/1965,9/21/2016,Delivery Truck,Nebraska,0.09,9,0.75,-513,1767,56,201
Computer Peripherals,Glendale,Small Pack,353,Bonnie Chambers,Home Office,Technology,10762,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",8/25/2014,89647,Low,85301,West,4/23/1952,8/25/2014,Express Air,Arizona,0.08,17,0.66,-165,85,5,5
Pens & Art Supplies,Norfolk,Wrap Bag,445,Judy Barrett,Small Business,Office Supplies,10715,Newell 333,9/24/2014,88084,High,68701,Central,5/1/1965,9/24/2014,Regular Air,Nebraska,0.09,11,0.59,-4,29,1,3
Paper,Medina,Small Box,2216,Clara Kaplan,Corporate,Office Supplies,10761,Xerox 23,1/6/2016,90314,Low,44256,East,5/17/1964,1/6/2016,Regular Air,Ohio,0.01,10,0.37,-27,67,5,6
Computer Peripherals,Medina,Small Box,2216,Clara Kaplan,Corporate,Technology,10382,Hayes Optima 56K V.90 Internal Voice Modem,1/6/2016,90314,Low,44256,East,5/16/1964,1/6/2016,Regular Air,Ohio,0.02,3,0.51,-214,808,11,257
Office Furnishings,Frankfort,Small Box,721,Melvin Duke,Corporate,Furniture,10726,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",6/25/2013,91053,Not Specified,46041,Central,6/27/1956,6/24/2014,Regular Air,Indiana,0.04,6,0.57,24,67,5,11
Pens & Art Supplies,Frankfort,Wrap Bag,721,Melvin Duke,Corporate,Office Supplies,10420,Prang Drawing Pencil Set,6/26/2013,91053,Not Specified,46041,Central,6/28/1956,6/24/2014,Express Air,Indiana,0.03,15,0.45,7,43,1,3
Envelopes,Coos Bay,Small Box,3325,Diane Barr,Consumer,Office Supplies,11099,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",10/21/2015,90986,Low,97420,West,2/3/1956,10/21/2015,Regular Air,Oregon,0,14,0.38,-79,132,8,9
Telephones and Communication,Rogers,Wrap Bag,2044,Lewis Chafer,Corporate,Technology,11135,Accessory37,2/23/2016,88692,Low,72756,South,9/16/1967,2/23/2016,Regular Air,Arkansas,0.09,6,0.81,-136,100,3,21
Tables,Reynoldsburg,Jumbo Box,2903,Frances Powers,Small Business,Furniture,10922,KI Conference Tables,6/25/2013,87374,Not Specified,43068,East,5/20/1963,6/25/2014,Delivery Truck,Ohio,0.06,6,0.72,65,364,89,71
Telephones and Communication,Auburn,Small Box,447,Joe Mako,Corporate,Technology,11039,2160i,11/7/2014,90449,Not Specified,13021,East,12/2/1953,11/7/2014,Regular Air,New York,0.05,11,0.59,1269,1839,4,201
Office Furnishings,Adrian,Large Box,3261,Steven Long,Consumer,Furniture,10278,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,10/19/2015,90296,Not Specified,49221,Central,10/22/1961,10/19/2015,Express Air,Michigan,0.07,10,0.61,711,1030,24,105
Appliances,Springfield,Small Box,1442,Rodney Field,Corporate,Office Supplies,11161,Kensington 7 Outlet MasterPiece Power Center,1/21/2016,89076,Not Specified,65807,Central,1/26/1962,1/21/2016,Regular Air,Missouri,0.04,15,0.56,1910,2768,1,178
Chairs & Chairmats,Auburn,Jumbo Drum,447,Joe Mako,Corporate,Furniture,10712,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",11/4/2016,90449,Not Specified,13021,East,12/1/1953,11/4/2016,Delivery Truck,New York,0.04,1,0.78,-83,160,30,131
Bookcases,West Des Moines,Jumbo Box,2987,Natalie Watts,Home Office,Furniture,11202,"Bush Westfield Collection Bookcases, Fully Assembled",11/26/2015,91180,Critical,50265,Central,12/27/1956,12/14/2015,Delivery Truck,Iowa,0.09,17,0.62,-104,1700,36,101
Paper,West Des Moines,Small Box,2987,Natalie Watts,Home Office,Office Supplies,10753,Xerox 196,11/26/2015,91180,Critical,50265,Central,12/28/1956,12/14/2015,Regular Air,Iowa,0.1,6,0.36,-58,36,8,6
Appliances,Chandler,Medium Box,2801,Jimmy Wang,Home Office,Office Supplies,10043,Bionaire 99.97% HEPA Air Cleaner,2/9/2016,91049,Low,85224,West,6/12/1956,2/9/2016,Regular Air,Arizona,0,15,0.5,53,284,8,18
Office Furnishings,Laredo,Large Box,1109,Dennis Welch,Consumer,Furniture,10563,Westinghouse Clip-On Gooseneck Lamps,11/17/2015,86410,Medium,78041,Central,7/18/1961,11/17/2015,Regular Air,Texas,0.08,13,0.59,-169,109,10,8
Telephones and Communication,Springville,Small Pack,1183,Becky O'Brien,Home Office,Technology,11247,Accessory9,7/8/2016,86914,Not Specified,84663,West,12/3/1958,7/8/2016,Regular Air,Utah,0.04,9,0.39,184,267,3,36
Computer Peripherals,Odenton,Small Box,3374,Jamie Ward,Home Office,Technology,10873,Keytronic 105-Key Spanish Keyboard,7/27/2015,87474,High,21113,East,2/26/1950,7/27/2015,Regular Air,Maryland,0.05,8,0.67,-2,600,12,74
Paper,Santa Rosa,Small Box,2448,Melanie Morrow,Consumer,Office Supplies,10911,Xerox 214,10/19/2016,87790,High,95404,West,6/23/1970,10/19/2016,Regular Air,California,0.09,16,0.37,-126,97,7,6
Paper,Odenton,Small Box,3374,Jamie Ward,Home Office,Office Supplies,11210,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),7/27/2015,87474,High,21113,East,2/27/1950,7/27/2015,Regular Air,Maryland,0,5,0.36,-37,34,7,6
Pens & Art Supplies,Odenton,Small Pack,3374,Jamie Ward,Home Office,Office Supplies,10541,Barrel Sharpener,7/25/2016,87474,High,21113,East,2/28/1950,7/25/2016,Regular Air,Maryland,0.09,9,0.59,-57,31,4,4
Rubber Bands,Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,10848,"Staples Vinyl Coated Paper Clips, 800/Box",10/30/2015,36647,High,1540,East,1/26/1914,10/30/2015,Regular Air,Massachusetts,0.01,32,0.4,39,274,3,8
Rubber Bands,Santa Rosa,Wrap Bag,702,Kelly O'Connor,Consumer,Office Supplies,10848,"Staples Vinyl Coated Paper Clips, 800/Box",10/6/2015,87979,High,95404,West,5/9/1963,10/16/2015,Regular Air,California,0.01,8,0.4,46,69,3,8
"Scissors, Rulers and Trimmers",Oxford,Wrap Bag,699,Jenny Gold,Consumer,Office Supplies,10147,"*Staples* vLetter Openers, 2/Pack",10/30/2015,36647,High,1540,East,1/27/1914,10/30/2015,Regular Air,Massachusetts,0.09,24,0.83,-22,83,1,4
"Scissors, Rulers and Trimmers",Santa Rosa,Wrap Bag,702,Kelly O'Connor,Consumer,Office Supplies,10147,"*Staples* vLetter Openers, 2/Pack",10/6/2015,87979,High,95404,West,5/10/1963,10/16/2015,Regular Air,California,0.09,6,0.83,-18,21,1,4
Computer Peripherals,Westlake,Small Box,1472,Tommy Ellis Ritchie,Home Office,Technology,10973,Logitech Internet Navigator Keyboard,10/6/2016,87078,Not Specified,44145,East,8/4/1965,10/6/2016,Express Air,Ohio,0.02,17,0.79,-45,553,7,31
Tables,Orlando,Jumbo Drum,3119,Jay Hubbard,Corporate,Furniture,11224,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",10/6/2014,86432,Critical,32839,South,12/6/1956,10/6/2014,Delivery Truck,Florida,0.08,11,0,513,3772,60,349
Storage & Organization,Alexandria,Small Box,1384,George McLamb,Consumer,Office Supplies,10810,X-Rack™ File for Hanging Folders,12/6/2016,89407,Not Specified,22304,South,8/10/1970,12/7/2016,Regular Air,Virginia,0.07,11,0.59,-163,123,5,11
Storage & Organization,Oxford,Small Box,699,Jenny Gold,Consumer,Office Supplies,10779,Filing/Storage Totes and Swivel Casters,10/28/2016,36647,High,1540,East,1/28/1914,10/28/2016,Regular Air,Massachusetts,0.1,27,0.6,-120,262,9,10
Storage & Organization,Santa Rosa,Small Box,702,Kelly O'Connor,Consumer,Office Supplies,10779,Filing/Storage Totes and Swivel Casters,10/4/2016,87979,High,95404,West,5/11/1963,10/14/2016,Regular Air,California,0.1,7,0.6,-96,68,9,10
Office Furnishings,Southbury,Small Box,2885,Gary Frazier,Consumer,Furniture,10386,"Howard Miller 16"" Diameter Gallery Wall Clock",10/22/2015,87634,Low,6488,East,11/8/1964,10/22/2015,Express Air,Connecticut,0.05,5,0.46,220,318,14,64
Office Furnishings,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Furniture,10386,"Howard Miller 16"" Diameter Gallery Wall Clock",9/2/2015,40224,Low,28206,South,7/29/1915,9/2/2015,Express Air,North Carolina,0.05,21,0.46,271,1336,14,64
Computer Peripherals,Coos Bay,Small Pack,1307,Teresa Hill,Small Business,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",7/7/2013,91451,Low,97420,West,7/5/1962,6/30/2014,Regular Air,Oregon,0.04,16,0.52,45,131,2,8
Binders and Binder Accessories,Peachtree City,Small Box,1910,Sean Stephenson,Home Office,Office Supplies,10763,Binding Machine Supplies,2/7/2016,91371,Not Specified,30269,South,3/11/1965,2/8/2016,Regular Air,Georgia,0.02,2,0.37,37,63,6,29
Computer Peripherals,Irving,Small Pack,308,Glen Caldwell,Small Business,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",7/11/2016,37760,High,75061,Central,7/7/1914,7/11/2016,Regular Air,Texas,0.01,32,0.52,11,281,2,8
Office Furnishings,Irving,Small Box,1682,Julie Edwards,Consumer,Furniture,10709,Eldon® 200 Class™ Desk Accessories,2/10/2016,14115,Not Specified,75061,Central,5/29/1905,2/10/2016,Regular Air,Texas,0.04,43,0.53,-38,284,5,6
